id	label	namespace	icon	source
mca:civil_registry	Registro Civil	mca	launcher-assets\item-icons\mca\civil_registry.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:warped_slab	Warped Slab	minecraft		1.20.1.jar
minecraft:birch_trapdoor	Birch Trapdoor	minecraft	launcher-assets\item-icons\minecraft\birch_trapdoor.png	1.20.1.jar
mca:blue_cherry_crib	Berço de Cerejeira Azul	mca	launcher-assets\item-icons\mca\blue_cherry_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:cherry_wood	Cherry Wood	minecraft		1.20.1.jar
mca:brown_jungle_crib	Berço da Selva Marrom	mca	launcher-assets\item-icons\mca\brown_jungle_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:deepslate	Deepslate	minecraft	launcher-assets\item-icons\minecraft\deepslate.png	1.20.1.jar
minecraft:spawner	Monster Spawner	minecraft	launcher-assets\item-icons\minecraft\spawner.png	1.20.1.jar
minecraft:clay_ball	Clay Ball	minecraft	launcher-assets\item-icons\minecraft\clay_ball.png	1.20.1.jar
mca:deepslate_upright_headstone	Lápide vertical de ardósia	mca	launcher-assets\item-icons\mca\deepslate_upright_headstone.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:creeper_spawn_egg	Creeper Spawn Egg	minecraft		1.20.1.jar
minecolonies:assistanthammer_iron	Iron Builder's Assistant Hammer	minecolonies	launcher-assets\item-icons\minecolonies\assistanthammer_iron.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:mycelium	Mycelium	minecraft		1.20.1.jar
minecraft:petrified_oak_slab	Petrified Oak Slab	minecraft		1.20.1.jar
mca:gray_oak_crib	Berço de Carvalho Cinza	mca	launcher-assets\item-icons\mca\gray_oak_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
domum_ornamentum:roan_bricks	Roan Bricks	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:dark_oak_boat	Dark Oak Boat	minecraft	launcher-assets\item-icons\minecraft\dark_oak_boat.png	1.20.1.jar
domum_ornamentum:magenta_floating_carpet	Magenta Floating Carpet	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:oak_fence	Oak Fence	minecraft		1.20.1.jar
minecraft:powder_snow_bucket	Powder Snow Bucket	minecraft	launcher-assets\item-icons\minecraft\powder_snow_bucket.png	1.20.1.jar
minecraft:brown_banner	Brown Banner	minecraft		1.20.1.jar
minecraft:dead_fire_coral	Dead Fire Coral	minecraft	launcher-assets\item-icons\minecraft\dead_fire_coral.png	1.20.1.jar
minecraft:smooth_red_sandstone_stairs	Smooth Red Sandstone Stairs	minecraft		1.20.1.jar
minecraft:cobweb	Cobweb	minecraft	launcher-assets\item-icons\minecraft\cobweb.png	1.20.1.jar
minecraft:mangrove_pressure_plate	Mangrove Pressure Plate	minecraft		1.20.1.jar
minecraft:silence_armor_trim_smithing_template	Silence Armor Trim Smithing Template	minecraft	launcher-assets\item-icons\minecraft\silence_armor_trim_smithing_template.png	1.20.1.jar
minecraft:brown_candle	Brown Candle	minecraft	launcher-assets\item-icons\minecraft\brown_candle.png	1.20.1.jar
mca:book_infection	Cuidado com a infecção!	mca	launcher-assets\item-icons\mca\book_infection.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:tube_coral_block	Tube Coral Block	minecraft	launcher-assets\item-icons\minecraft\tube_coral_block.png	1.20.1.jar
minecraft:oak_sapling	Oak Sapling	minecraft	launcher-assets\item-icons\minecraft\oak_sapling.png	1.20.1.jar
minecraft:warped_door	Warped Door	minecraft	launcher-assets\item-icons\minecraft\warped_door.png	1.20.1.jar
minecraft:cornflower	Cornflower	minecraft	launcher-assets\item-icons\minecraft\cornflower.png	1.20.1.jar
minecolonies:blockhutchickenherder	Chicken Farmer's Hut	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
mca:red_birch_crib	Berço de Bétula Vermelho	mca	launcher-assets\item-icons\mca\red_birch_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
domum_ornamentum:plain	Plain	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:smooth_red_sandstone	Smooth Red Sandstone	minecraft		1.20.1.jar
minecraft:gold_nugget	Gold Nugget	minecraft	launcher-assets\item-icons\minecraft\gold_nugget.png	1.20.1.jar
minecraft:rabbit_foot	Rabbit's Foot	minecraft	launcher-assets\item-icons\minecraft\rabbit_foot.png	1.20.1.jar
minecolonies:blockhutglassblower	Glassblower's Hut	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:waxed_weathered_cut_copper_stairs	Waxed Weathered Cut Copper Stairs	minecraft		1.20.1.jar
minecraft:golden_chestplate	Golden Chestplate	minecraft	launcher-assets\item-icons\minecraft\golden_chestplate.png	1.20.1.jar
minecraft:lime_terracotta	Lime Terracotta	minecraft	launcher-assets\item-icons\minecraft\lime_terracotta.png	1.20.1.jar
minecraft:end_stone	End Stone	minecraft	launcher-assets\item-icons\minecraft\end_stone.png	1.20.1.jar
minecolonies:blockhutmechanic	Mechanic's Hut	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:diamond_sword	Diamond Sword	minecraft	launcher-assets\item-icons\minecraft\diamond_sword.png	1.20.1.jar
minecraft:deepslate_diamond_ore	Deepslate Diamond Ore	minecraft	launcher-assets\item-icons\minecraft\deepslate_diamond_ore.png	1.20.1.jar
minecraft:birch_leaves	Birch Leaves	minecraft	launcher-assets\item-icons\minecraft\birch_leaves.png	1.20.1.jar
minecraft:powered_rail	Powered Rail	minecraft	launcher-assets\item-icons\minecraft\powered_rail.png	1.20.1.jar
minecraft:glowstone_dust	Glowstone Dust	minecraft	launcher-assets\item-icons\minecraft\glowstone_dust.png	1.20.1.jar
mca:magenta_birch_crib	Berço de Bétula Magenta	mca	launcher-assets\item-icons\mca\magenta_birch_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecolonies:pirate_shoes	Pirate Shoes	minecolonies	launcher-assets\item-icons\minecolonies\pirate_shoes.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:jungle_sign	Jungle Sign	minecraft	launcher-assets\item-icons\minecraft\jungle_sign.png	1.20.1.jar
minecraft:netherite_hoe	Netherite Hoe	minecraft	launcher-assets\item-icons\minecraft\netherite_hoe.png	1.20.1.jar
minecraft:spruce_boat	Spruce Boat	minecraft	launcher-assets\item-icons\minecraft\spruce_boat.png	1.20.1.jar
minecolonies:stuffed_pita	Stuffed Pita	minecolonies	launcher-assets\item-icons\minecolonies\stuffed_pita.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:brown_mushroom_block	Brown Mushroom Block	minecraft	launcher-assets\item-icons\minecraft\brown_mushroom_block.png	1.20.1.jar
minecraft:torch	Torch	minecraft	launcher-assets\item-icons\minecraft\torch.png	1.20.1.jar
minecraft:golden_apple	Golden Apple	minecraft	launcher-assets\item-icons\minecraft\golden_apple.png	1.20.1.jar
mca:lime_jungle_crib	Berço da Selva Lima	mca	launcher-assets\item-icons\mca\lime_jungle_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecolonies:pea_soup	Pea Soup	minecolonies	launcher-assets\item-icons\minecolonies\pea_soup.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecolonies:questlog	Quest Log	minecolonies	launcher-assets\item-icons\minecolonies\questlog.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
mca:blue_oak_crib	Berço de Carvalho Azul	mca	launcher-assets\item-icons\mca\blue_oak_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:golden_leggings	Golden Leggings	minecraft	launcher-assets\item-icons\minecraft\golden_leggings.png	1.20.1.jar
minecolonies:blockhutgatehouse	Gatehouse	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
mca:cobblestone_upright_headstone	Lápide vertical de pedregulho	mca	launcher-assets\item-icons\mca\cobblestone_upright_headstone.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecolonies:veggie_ravioli	Veggie Ravioli	minecolonies	launcher-assets\item-icons\minecolonies\veggie_ravioli.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
mca:red_dark_oak_crib	Berço de Carvalho Escuro Vermelho	mca	launcher-assets\item-icons\mca\red_dark_oak_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:purpur_block	Purpur Block	minecraft	launcher-assets\item-icons\minecraft\purpur_block.png	1.20.1.jar
minecraft:cherry_fence	Cherry Fence	minecraft		1.20.1.jar
minecraft:respawn_anchor	Respawn Anchor	minecraft		1.20.1.jar
minecolonies:assistanthammer_diamond	Diamond Builder's Assistant Hammer	minecolonies	launcher-assets\item-icons\minecolonies\assistanthammer_diamond.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:spyglass_in_hand	Spyglass In Hand	minecraft		1.20.1.jar
minecraft:crimson_roots	Crimson Roots	minecraft	launcher-assets\item-icons\minecraft\crimson_roots.png	1.20.1.jar
minecolonies:sifter_mesh_diamond	Diamond Mesh	minecolonies	launcher-assets\item-icons\minecolonies\sifter_mesh_diamond.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecolonies:blockconstructiontape	Construction Tape	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:black_carpet	Black Carpet	minecraft		1.20.1.jar
minecraft:warped_stairs	Warped Stairs	minecraft		1.20.1.jar
mca:pink_dark_oak_crib	Berço de Carvalho Escuro Rosa	mca	launcher-assets\item-icons\mca\pink_dark_oak_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
mca:green_cherry_crib	Berço de Cerejeira Verde	mca	launcher-assets\item-icons\mca\green_cherry_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
domum_ornamentum:dark_brick	Dark Brick	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecolonies:drownedpiratearcheregg	Drowned Archer Pirate Spawn Egg	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
mca:book_supporters	Livro dos apoiadores	mca	launcher-assets\item-icons\mca\book_supporters.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
mca:orange_jungle_crib	Berço da Selva Laranja	mca	launcher-assets\item-icons\mca\orange_jungle_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:light_gray_wool	Light Gray Wool	minecraft	launcher-assets\item-icons\minecraft\light_gray_wool.png	1.20.1.jar
mca:black_bamboo_crib	Berço de Bambu Preto	mca	launcher-assets\item-icons\mca\black_bamboo_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:template_bed	Template Bed	minecraft		1.20.1.jar
domum_ornamentum:vanilla_wall_compat	Vanilla Wall Compat	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:waxed_exposed_cut_copper_slab	Waxed Exposed Cut Copper Slab	minecraft		1.20.1.jar
magicworld:draconic_aether_helmet	Draconic Aether Helmet	magicworld	launcher-assets\item-icons\magicworld\draconic_aether_helmet.png	Magic_World_Mod_1.20.1-1.0.0.1.jar
minecraft:bone_block	Bone Block	minecraft		1.20.1.jar
minecraft:cobblestone_stairs	Cobblestone Stairs	minecraft		1.20.1.jar
minecraft:orange_concrete_powder	Orange Concrete Powder	minecraft	launcher-assets\item-icons\minecraft\orange_concrete_powder.png	1.20.1.jar
minecraft:salmon_spawn_egg	Salmon Spawn Egg	minecraft		1.20.1.jar
minecolonies:amazonspearmanegg	Amazon Spearman Spawn Egg	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:fishing_rod	Fishing Rod	minecraft	launcher-assets\item-icons\minecraft\fishing_rod.png	1.20.1.jar
minecraft:honeycomb	Honeycomb	minecraft	launcher-assets\item-icons\minecraft\honeycomb.png	1.20.1.jar
minecraft:polished_blackstone_bricks	Polished Blackstone Bricks	minecraft	launcher-assets\item-icons\minecraft\polished_blackstone_bricks.png	1.20.1.jar
minecraft:shears	Shears	minecraft	launcher-assets\item-icons\minecraft\shears.png	1.20.1.jar
minecraft:dead_fire_coral_block	Dead Fire Coral Block	minecraft	launcher-assets\item-icons\minecraft\dead_fire_coral_block.png	1.20.1.jar
minecraft:trident_throwing	Trident Throwing	minecraft	launcher-assets\item-icons\minecraft\trident_throwing.png	1.20.1.jar
minecraft:dune_armor_trim_smithing_template	Dune Armor Trim Smithing Template	minecraft	launcher-assets\item-icons\minecraft\dune_armor_trim_smithing_template.png	1.20.1.jar
minecraft:cyan_stained_glass_pane	Cyan Stained Glass Pane	minecraft	launcher-assets\item-icons\minecraft\cyan_stained_glass_pane.png	1.20.1.jar
minecraft:blue_bed	Blue Bed	minecraft	launcher-assets\item-icons\minecraft\blue_bed.png	1.20.1.jar
mca:white_oak_crib	Berço de Carvalho Branco	mca	launcher-assets\item-icons\mca\white_oak_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:honey_block	Honey Block	minecraft		1.20.1.jar
minecolonies:blockhutbuilder	Builder's Hut	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:raw_gold_block	Block of Raw Gold	minecraft	launcher-assets\item-icons\minecraft\raw_gold_block.png	1.20.1.jar
minecraft:green_banner	Green Banner	minecraft		1.20.1.jar
minecraft:wooden_sword	Wooden Sword	minecraft	launcher-assets\item-icons\minecraft\wooden_sword.png	1.20.1.jar
minecraft:amethyst_cluster	Amethyst Cluster	minecraft	launcher-assets\item-icons\minecraft\amethyst_cluster.png	1.20.1.jar
minecraft:brown_bed	Brown Bed	minecraft	launcher-assets\item-icons\minecraft\brown_bed.png	1.20.1.jar
minecraft:waxed_oxidized_cut_copper	Waxed Oxidized Cut Copper	minecraft		1.20.1.jar
minecraft:dried_kelp	Dried Kelp	minecraft	launcher-assets\item-icons\minecraft\dried_kelp.png	1.20.1.jar
minecraft:cherry_sign	Cherry Sign	minecraft	launcher-assets\item-icons\minecraft\cherry_sign.png	1.20.1.jar
minecraft:bamboo_block	Block of Bamboo	minecraft	launcher-assets\item-icons\minecraft\bamboo_block.png	1.20.1.jar
minecraft:stone_brick_slab	Stone Brick Slab	minecraft		1.20.1.jar
minecraft:netherrack	Netherrack	minecraft	launcher-assets\item-icons\minecraft\netherrack.png	1.20.1.jar
mca:green_birch_crib	Berço de Bétula Verde	mca	launcher-assets\item-icons\mca\green_birch_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:yellow_carpet	Yellow Carpet	minecraft		1.20.1.jar
minecraft:end_stone_brick_slab	End Stone Brick Slab	minecraft		1.20.1.jar
minecraft:angler_pottery_sherd	Angler Pottery Sherd	minecraft	launcher-assets\item-icons\minecraft\angler_pottery_sherd.png	1.20.1.jar
minecraft:wheat	Wheat	minecraft	launcher-assets\item-icons\minecraft\wheat.png	1.20.1.jar
minecraft:goat_horn	Goat Horn	minecraft	launcher-assets\item-icons\minecraft\goat_horn.png	1.20.1.jar
minecraft:magenta_carpet	Magenta Carpet	minecraft		1.20.1.jar
minecolonies:yogurt_with_berries	Yogurt With Berries	minecolonies	launcher-assets\item-icons\minecolonies\yogurt_with_berries.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:brush_brushing_1	Brush Brushing 1	minecraft	launcher-assets\item-icons\minecraft\brush_brushing_1.png	1.20.1.jar
minecolonies:blockwaypoint	Waypoint Placeholder	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:light_blue_dye	Light Blue Dye	minecraft	launcher-assets\item-icons\minecraft\light_blue_dye.png	1.20.1.jar
